edge,MAE,RMSE
6_35to7_35,1.33815824572838,1.679579777286091
7_56to6_56,1.2861749676649428,1.6225471333913468
8_56to8_57,1.248857909534253,1.6006216447436556
7_54to6_54,1.2612905428613992,1.583956145384905
8_47to9_47,1.2577643667257363,1.5794989951045657
8_56to7_56,1.2737665924048949,1.5771501722020111
Park_40toLexington_40,1.234315522903074,1.5192108641571758
9_30to8_30,1.2066541164932487,1.5188587835204463
6_34to7_34,1.1887489409662346,1.5028592517889334
7_33to8_33,1.2013031260398341,1.5018880364247702
Madison_30toPark_30,1.1963799024662451,1.4955003586349476
7_57to8_57,1.1826034186182228,1.4793226638357928
9_39to9_38,1.1681282311469037,1.4604894824813965
8_33to8_34,1.1483200463091576,1.4560168055630627
9_37to9_36,1.1452069259647149,1.4517223605198952
Madison_33toMadison_34,1.1565911166297818,1.4504630600965371
Madison_33to5_33,1.106959105625917,1.3965512834675038
8_49to9_49,1.0988533847422293,1.393969209681584
9_41to9_40,1.0972089099235047,1.3866145343322087
Park_31toPark_30,1.0634567811784164,1.3603071035261172
9_58to8_58,1.0510100685571122,1.316257610899781
Madison_31to5_31,1.052569526750844,1.3093438740460126
8_33to9_33,1.0431700870832779,1.3063119985724212
8_51to9_51,1.0288222446815045,1.3012785743164716
Park_38toLexington_38,1.046838851956262,1.294071526401302
5_30toMadison_30,1.0176545009833826,1.276034107841184
Lexington_54toLexington_55,1.0097979284641607,1.2699782382664524
6_33to7_33,1.008109874885244,1.265226224534619
7_58to6_58,1.015919895746559,1.2619162922016682
Lexington_52toLexington_53,0.9825256832669975,1.2481353972675822
Lexington_50toLexington_51,0.9871187156604377,1.2443154770696192
9_45to9_44,0.992548504449295,1.2418384707285213
9_47to9_46,0.948093589775794,1.1939259329248788
9_49to9_48,0.921180367947687,1.1496600433033115
5_32to5_31,0.9223908232173749,1.1494926001236863
Lexington_48toLexington_49,0.9129877183803781,1.1480361991623824
5_58toMadison_58,0.924091258810877,1.1440447500200979
Lexington_46toLexington_47,0.9066475560492675,1.132212662602831
9_51to9_50,0.8947809449013634,1.1266074911778772
5_33to5_32,0.8634600981958264,1.115723028053262
Lexington_42toLexington_43,0.8632728823663038,1.0858253348772244
7_30to6_30,0.8632206701692401,1.0802828143254177
Lexington_34toLexington_35,0.854754164559132,1.0709155410878195
Park_36toLexington_36,0.8710340831602468,1.070268032736998
8_53to9_53,0.8446554164836626,1.0682700713098598
Lexington_40toLexington_41,0.8456649965725432,1.0618921022002448
