node_id,road_name,segment_start,segment_end,segment_length,direction,interval,year,month,day,day_of_week,hour,minute,lambda_car,lambda_bus
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,45,2.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,45,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,0,2.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,15,2.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,15,2.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,30,2.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,45,2.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,45,2.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,20,45,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,0,2.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,0,2.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,15,2.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,30,2.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,45,2.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,21,45,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,15,2.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,30,2.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,45,2.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,45,2.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,22,45,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,15,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,30,2.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,45,2.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,23,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,0,2.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,0,2.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,30,2.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,45,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,45,2.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,24,45,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,17,Tuesday,1,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,17,Tuesday,1,0,1.0,0.0
